#node, #edge, th_dense, th_depth, th_ego, th_cyc, pattern, netsimile, time
4, 5, -, -, 1.0, -, ego
5, 5, -, -, 1.0, -, ego, chain, -    (pic1)
5, 8, -, -, 1.0, -, ego, chain, 0.00010704994201660156     (pic2)
5, 8, -, -, 1.0, -, ego, chain, 0.00010395050048828125     (pic3)
10,30,-,-,0.889,-,ego,egocentric,0.00014495849609375   (pic8)

9, 10, 0.47, -, 0.5, 0.67, loop, chain, 0.0008258819580078125    (pic4) 
10, 15, 0.46, -, 0.67, 0.8, loop, ego, 0.005273103713989258   (pic6)
10, 15, 0.52, -, 0.67, 0.7, loop, ego, 0.0038068294525146484  (pic7)
10,30,0.667,-,0.778,1.0,loop,chain,1.2714669704437256      (pic9)
15,25,0.318,-,0.429,0.8,loop,egocentric,0.09481310844421387  (pic12)
15,25,0.253,-,0.429,0.933,loop,chain,0.11960697174072266      (pic13)
15,35,0.333,-,0.5,1.0,loop,egocentric,5.734078884124756       (pic14)
15,35,0.374,-,0.429,0.933,loop,chain,9.09357213973999        (pic15)
15,45,0.429,-,0.643,1.0,loop,egocentric,1.7733631134033203   (pic16)
15,50,0.476,-,0.643,1.0,loop,clique,51.71342611312866


10,10, -, 0.9, 0.44, 0.4, chain, chain, 0.004302024841308594  (pic5)


10,40,0.889,-,1.0,1.0,clique,clique,20.24824595451355      (pic10)
10,40,0.889,-,1.0,1.0,clique,clique,21.375001907348633     (pic11)



29,40,0.147,-,0.214,0.69,loop,chain,0.9397120475769043
30,50,0.14,-,0.207,0.833,loop,loop,2.204463005065918
